 
****************************************
Report : area
Design : enigma
Version: R-2020.09-SP5
Date   : Mon Oct 20 13:36:29 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                          455
Number of nets:                          8185
Number of cells:                         7834
Number of combinational cells:           6568
Number of sequential cells:              1165
Number of macros/black boxes:               0
Number of buf/inv:                       1157
Number of references:                     180

Combinational area:              11282.580252
Buf/Inv area:                     1008.900023
Noncombinational area:            6399.846143
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                 17682.426394
Total area:                      17682.426394

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
clk_gate_link_reg_48_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_70
clk_gate_link_reg_4_                  6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_43
clk_gate_link_reg_50_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_71
clk_gate_link_reg_52_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_72
clk_gate_link_reg_53_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_73
clk_gate_link_reg_55_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_74
clk_gate_link_reg_57_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_75
clk_gate_link_reg_58_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_76
clk_gate_link_reg_5_                  6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_44
clk_gate_link_reg_60_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_77
clk_gate_link_reg_62_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_78
clk_gate_link_reg_63_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_79
clk_gate_link_reg_7_                  6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_45
clk_gate_link_reg_8_                  6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_46
clk_gate_mode_bitswitch_reg           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_40
clk_gate_plugboard_reg_reg_0_         6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_0
clk_gate_plugboard_reg_reg_10_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_93
clk_gate_plugboard_reg_reg_11_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_92
clk_gate_plugboard_reg_reg_13_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_91
clk_gate_plugboard_reg_reg_15_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_90
clk_gate_plugboard_reg_reg_16_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_89
clk_gate_plugboard_reg_reg_18_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_88
clk_gate_plugboard_reg_reg_1_         6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_98
clk_gate_plugboard_reg_reg_20_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_87
clk_gate_plugboard_reg_reg_21_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_86
clk_gate_plugboard_reg_reg_23_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_85
clk_gate_plugboard_reg_reg_24_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_84
clk_gate_plugboard_reg_reg_26_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_83
clk_gate_plugboard_reg_reg_27_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_82
clk_gate_plugboard_reg_reg_29_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_81
clk_gate_plugboard_reg_reg_30_        6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_80
clk_gate_plugboard_reg_reg_3_         6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_97
clk_gate_plugboard_reg_reg_5_         6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_96
clk_gate_plugboard_reg_reg_6_         6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_95
clk_gate_plugboard_reg_reg_8_         6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_94
encoder64_A                          77.6340      0.4     77.6340     0.0000  0.0000  onehot2binary_64_mydesign_1
encoder64_B                          94.3920      0.5     94.3920     0.0000  0.0000  onehot2binary_64_mydesign_0
--------------------------------  ----------  -------  ----------  ---------  ------  ---------------------------------------
Total                                                  11282.5803  6399.8461  0.0000

1
