 
****************************************
Report : area
Design : ViT_top
Version: R-2020.09-SP5
Date   : Tue Nov 25 01:27:31 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                         4737
Number of nets:                        145544
Number of cells:                       139457
Number of combinational cells:         128837
Number of sequential cells:             10488
Number of macros/black boxes:               0
Number of buf/inv:                      27218
Number of references:                     243

Combinational area:             191764.192278
Buf/Inv area:                    19138.662427
Noncombinational area:           64928.359448
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                256692.551726
Total area:                     256692.551726

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
clk_gate_a_bank2_reg_h_reg_7_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_50
clk_gate_a_bank2_reg_l_reg_0_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_65
clk_gate_a_bank2_reg_l_reg_1_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_64
clk_gate_a_bank2_reg_l_reg_2_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_63
clk_gate_a_bank2_reg_l_reg_3_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_62
clk_gate_a_bank2_reg_l_reg_4_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_61
clk_gate_a_bank2_reg_l_reg_5_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_60
clk_gate_a_bank2_reg_l_reg_6_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_59
clk_gate_a_bank2_reg_l_reg_7_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_58
clk_gate_a_bank3_reg_h_reg_0_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_41
clk_gate_a_bank3_reg_h_reg_1_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_40
clk_gate_a_bank3_reg_h_reg_2_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_39
clk_gate_a_bank3_reg_h_reg_3_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_38
clk_gate_a_bank3_reg_h_reg_4_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_37
clk_gate_a_bank3_reg_h_reg_5_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_36
clk_gate_a_bank3_reg_h_reg_6_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_35
clk_gate_a_bank3_reg_h_reg_7_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_34
clk_gate_a_bank3_reg_l_reg_0_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_49
clk_gate_a_bank3_reg_l_reg_1_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_48
clk_gate_a_bank3_reg_l_reg_2_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_47
clk_gate_a_bank3_reg_l_reg_3_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_46
clk_gate_a_bank3_reg_l_reg_4_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_45
clk_gate_a_bank3_reg_l_reg_5_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_44
clk_gate_a_bank3_reg_l_reg_6_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_43
clk_gate_a_bank3_reg_l_reg_7_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_42
clk_gate_b_base_addr_cnt_b_reg         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_31
